action1,action2,action3,action4,action5,action6,action7,action8
-1.977105736732482910e-01,-2.761303186416625977e-01,2.444857060909271240e-01,-4.459519982337951660e-01,-4.740159213542938232e-01,3.656717538833618164e-01,3.793690204620361328e-01,5.614335536956787109e-01
1.507632732391357422e-01,-4.928344190120697021e-01,-5.790854692459106445e-01,-5.153394937515258789e-01,5.632166266441345215e-01,4.842972159385681152e-01,2.945295870304107666e-01,5.125601887702941895e-01
-6.639425456523895264e-02,-7.460438460111618042e-02,4.468118548393249512e-01,-5.077999830245971680e-01,-4.322981238365173340e-01,6.071575880050659180e-01,7.082021832466125488e-01,7.596755027770996094e-01
1.986200660467147827e-01,-1.639305204153060913e-01,-2.653649151325225830e-01,-5.895013809204101562e-01,-9.852357953786849976e-02,6.445916891098022461e-01,6.210500597953796387e-01,6.441326141357421875e-01
1.558607537299394608e-02,-1.534466724842786789e-02,2.282422184944152832e-01,-6.518268585205078125e-01,2.391575425863265991e-01,3.469952642917633057e-01,7.474645376205444336e-01,6.530811786651611328e-01
-3.562822937965393066e-01,2.002306729555130005e-01,-7.287119980901479721e-03,-5.968236923217773438e-01,-1.891131140291690826e-02,4.936440289020538330e-01,8.295459747314453125e-01,7.702219486236572266e-01
-5.739293098449707031e-01,3.904723823070526123e-01,-2.582788169384002686e-01,-6.323741674423217773e-01,7.912966609001159668e-01,2.331927120685577393e-01,7.665779590606689453e-01,7.285150289535522461e-01
-7.152486443519592285e-01,-1.669141799211502075e-01,-3.165933787822723389e-01,-5.552469491958618164e-01,-1.467161439359188080e-02,4.693309962749481201e-01,3.178530931472778320e-01,5.626911520957946777e-01
-9.611325711011886597e-02,-6.543000936508178711e-01,-5.261211395263671875e-01,-2.844595611095428467e-01,-1.149710193276405334e-01,1.838525086641311646e-01,3.643779782578349113e-03,3.055506348609924316e-01
3.238417804241180420e-01,4.923723638057708740e-02,8.926602005958557129e-01,-6.040716171264648438e-01,-9.666033983230590820e-01,1.469074632041156292e-03,4.749208688735961914e-01,2.099541723728179932e-01
7.449502944946289062e-01,-4.494880139827728271e-01,-3.880020678043365479e-01,-3.957124650478363037e-01,-8.701605796813964844e-01,8.433722853660583496e-01,4.955716431140899658e-01,3.302629292011260986e-01
7.230309396982192993e-02,-2.844302356243133545e-01,6.385262310504913330e-02,-8.976462483406066895e-01,6.776709556579589844e-01,8.093017935752868652e-01,9.123401045799255371e-01,2.521997690200805664e-01
-4.328361749649047852e-01,-3.995959460735321045e-01,3.452420532703399658e-01,-6.386167407035827637e-01,2.692317962646484375e-01,5.215228199958801270e-01,7.565806508064270020e-01,2.784242630004882812e-01
-1.469919532537460327e-01,-1.012284383177757263e-01,2.955509722232818604e-01,-6.187479496002197266e-01,1.695028990507125854e-01,4.732364714145660400e-01,6.887554526329040527e-01,6.550232768058776855e-01
-9.717571735382080078e-01,5.618667602539062500e-01,-4.652566909790039062e-01,-5.846991539001464844e-01,9.472694993019104004e-01,-1.670720726251602173e-01,4.317954778671264648e-01,5.807316899299621582e-01
-4.118987023830413818e-01,-1.331435423344373703e-02,-3.829099535942077637e-01,-3.435738384723663330e-01,-2.033931463956832886e-01,5.686564445495605469e-01,2.257372587919235229e-01,6.114829778671264648e-01
-1.321027576923370361e-01,-5.570104122161865234e-01,-9.236735105514526367e-02,1.405522823333740234e-01,1.203915327787399292e-01,-4.322123154997825623e-02,3.671220317482948303e-02,4.131706058979034424e-01
8.106261491775512695e-01,-1.295639872550964355e-01,4.808771014213562012e-01,-6.661260724067687988e-01,-9.528480768203735352e-01,3.520368337631225586e-01,3.585670590400695801e-01,-6.843802984803915024e-03
